Walk,Grade,Length,Time,GPS START,Link,Hours,Biome,Region
"Mount Hill and the Hopetoun Monument, Cupar",1,12.5km,3.5 - 4 hours,"56.32220,-3.02881",https://www.walkhighlands.co.uk/fife-stirling/mount-hill.shtml,4,Forest,Fife and Stirling walks
"Largo Law, from Upper Largo",2,3.25km,1.5 hours,"56.22260,-2.93216",https://www.walkhighlands.co.uk/fife-stirling/largo-law.shtml,1.5,Mountain,Fife and Stirling walks
"Craighall Den circular, Ceres",2,4km,1.5 hours,"56.29180,-2.97080",https://www.walkhighlands.co.uk/fife-stirling/ceres.shtml,1.5,Heritage,Fife and Stirling walks
"The Rock and Spindle, from St Andrews",2,4.75km,1.5 - 2 hours,"56.33330,-2.77960",https://www.walkhighlands.co.uk/fife-stirling/rock-and-spindle.shtml,2,Coastal,Fife and Stirling walks
"Norman's Law, from Luthrie",2,8.25km,2.5 - 3 hours,"56.36410,-3.08440",https://www.walkhighlands.co.uk/fife-stirling/normans-law.shtml,3,Mountain,Fife and Stirling walks
"Tay Bridge & Balmerino, from Wormit",2,8.5km,2 - 2.5 hours,"56.42220,-2.98760",https://www.walkhighlands.co.uk/fife-stirling/tay-bridge.shtml,2.5,Heritage,Fife and Stirling walks
Fife Coastal Path 8: Crail to Kingsbarns,2,9.5km,3 - 3.5 hours,"56.25870,-2.62850",https://www.walkhighlands.co.uk/fife-stirling/crail-kingsbarns.shtml,3.5,Coastal,Fife and Stirling walks
Hill of Tarvit and Scotstarvit from Ceres,2,10.25km,3 - 4 hours,"56.29180,-2.97080",https://www.walkhighlands.co.uk/fife-stirling/hill-of-tarvit.shtml,4,Heritage,Fife and Stirling walks
Fife Coastal Path 9: Kingsbarns to St Andrews,2,13.5km,3 - 4 hours,"56.30330,-2.64550",https://www.walkhighlands.co.uk/fife-stirling/kingsbarns-st-andrews.shtml,4,Coastal,Fife and Stirling walks
Fife Coastal Path 5: Lower Largo to St Monans,2,14km,3 - 4 hours,"56.21270,-2.93240",https://www.walkhighlands.co.uk/fife-stirling/largo-st-monans.shtml,4,Coastal,Fife and Stirling walks
"The Hill of Beath, near Cowdenbeath",1,2km,45 minutes,"56.09720,-3.37422",https://www.walkhighlands.co.uk/fife-stirling/hill-of-beath.shtml,0.75,Mountain,Fife and Stirling walks
"Dunfermline Explorer walk, Dunfermline",1,3.5km,1 hour,"56.06970,-3.47164",https://www.walkhighlands.co.uk/fife-stirling/dunfermline.shtml,1,Heritage,Fife and Stirling walks
"Maspie Den, Falkland",1,4.75km,1.5 - 2.5 hours,"56.25310,-3.20800",https://www.walkhighlands.co.uk/fife-stirling/maspie-den.shtml,2.5,Forest,Fife and Stirling walks
"Lochore Meadows circuit, near Lochgelly",1,5.25km,1- 1.5 hours,"56.15080,-3.33700",https://www.walkhighlands.co.uk/fife-stirling/lochore.shtml,1.5,Wetland,Fife and Stirling walks
North Queensferry coastal circuit,1,5.25km,2 hours,"56.00790,-3.39260",https://www.walkhighlands.co.uk/fife-stirling/north-queensferry.shtml,2,Heritage,Fife and Stirling walks
Tyndall Bruce Monument and Falkland Estate,1,6km,1.5 - 2 hours,"56.25380,-3.21680",https://www.walkhighlands.co.uk/fife-stirling/tyndall-bruce-monument.shtml,2,Forest,Fife and Stirling walks
"Auchtermuchty Common circuit, Auchtermuchty",1,7km,2 hours,"56.29110,-3.22942",https://www.walkhighlands.co.uk/fife-stirling/auchtermuchty.shtml,2,Heritage,Fife and Stirling walks
"Loch Leven Heritage Trail, Kinross",1,19.25km,5 - 6 hours,"56.20000,-3.41730",https://www.walkhighlands.co.uk/perthshire/loch-leven.shtml,6,Wetland,Fife and Stirling walks
"Craigluscar Hill, near Dunfermline",2,3.5km,1.5 hours,"56.09990,-3.51278",https://www.walkhighlands.co.uk/fife-stirling/craigluscar.shtml,1.5,Forest,Fife and Stirling walks
"Benarty Hill, near Ballingry",2,4.9km,1 - 1.5 hours,"56.15790,-3.35548",https://www.walkhighlands.co.uk/fife-stirling/benarty-hill.shtml,1.5,Mountain,Fife and Stirling walks
"Dumglow, Cleish Hills",2,5.5km,2 hours,"56.15710,-3.46080",https://www.walkhighlands.co.uk/fife-stirling/dumglow.shtml,2,Mountain,Fife and Stirling walks
"Lindores Loch circuit, Grange of Lindores",2,6km,2 - 2.5 hours,"56.33640,-3.20270",https://www.walkhighlands.co.uk/fife-stirling/lindores-loch.shtml,2.5,Wetland,Fife and Stirling walks
Bishop Hill circular from Scotlandwell,2,6.75km,2.5 - 3.5 hours,"56.20340,-3.31860",https://www.walkhighlands.co.uk/fife-stirling/bishop-hill-scotlandwell.shtml,3.5,Mountain,Fife and Stirling walks
"East Lomond circuit, Falkland",2,7km,2.5 - 3.5 hours,"56.25310,-3.20800",https://www.walkhighlands.co.uk/fife-stirling/east-lomond.shtml,3.5,Mountain,Fife and Stirling walks
St Ninians and Loch Fitty from Kingseat,2,7km,1.5 - 2 hours,"56.10020,-3.40660",https://www.walkhighlands.co.uk/fife-stirling/st-ninians-loch-fitty.shtml,2,Wetland,Fife and Stirling walks
Benarty Hill from Vane Farm,2,7.1km,2 - 3 hours,"56.17600,-3.35560",https://www.walkhighlands.co.uk/perthshire/benarty-vane-farm.shtml,3,Mountain,Fife and Stirling walks
West Lomond from Craigmead,2,8km,2.5 - 3.5 hours,"56.24180,-3.24770",https://www.walkhighlands.co.uk/fife-stirling/west-lomond.shtml,3.5,Mountain,Fife and Stirling walks
"The Binn and Kinghorn Loch, from Burntisland",2,10.5km,3 - 3.5 hours,"56.05920,-3.22927",https://www.walkhighlands.co.uk/fife-stirling/the-binn-burntisland.shtml,3.5,Mountain,Fife and Stirling walks
East Lomond from Glenrothes,2,10.5km,3 - 3.5 hours,"56.21830,-3.18450",https://www.walkhighlands.co.uk/fife-stirling/east-lomond-glenrothes.shtml,3.5,Mountain,Fife and Stirling walks
Bishop Hill circular from Holl Reservoir,2,12km,3 - 4 hours,"56.21780,-3.25270",https://www.walkhighlands.co.uk/fife-stirling/bishop-hill.shtml,4,Mountain,Fife and Stirling walks
West Lomond via the Bunnet Stane,3,9.25km,3.5 - 4 hours,"56.25910,-3.31740",https://www.walkhighlands.co.uk/fife-stirling/west-lomond-bunnet.shtml,4,Mountain,Fife and Stirling walks
"Saline Hill and Easter Cairn, Saline",3,9.5km,3 - 4 hours,"56.11480,-3.57419",https://www.walkhighlands.co.uk/fife-stirling/saline-hill.shtml,4,Mountain,Fife and Stirling walks
"Plean Country Park, Plean",1,2.5km,45 minutes,"56.05990,-3.88450",https://www.walkhighlands.co.uk/fife-stirling/plean-country-park.shtml,0.75,Forest,Fife and Stirling walks
Wallace Monument and Abbey Craig,1,2.5km,1 hour,"56.13970,-3.91980",https://www.walkhighlands.co.uk/fife-stirling/wallace-monument.shtml,1,Heritage,Fife and Stirling walks
Doune Castle and the River Teith,1,2.75km,1 hour,"56.18890,-4.05120",https://www.walkhighlands.co.uk/fife-stirling/doune.shtml,1,Heritage,Fife and Stirling walks
Culross - Heritage walk,1,4km,1 - 1.5 hours,"56.05540,-3.62320",https://www.walkhighlands.co.uk/fife-stirling/culross.shtml,1.5,Heritage,Fife and Stirling walks
Stirling Castle and Gowanhill,1,4.25km,1 hour,"56.11950,-3.93530",https://www.walkhighlands.co.uk/fife-stirling/stirling-castle.shtml,1,Heritage,Fife and Stirling walks
Darn Walk: Bridge of Allan to Dunblane,1,4.25km,1 - 1.5 hours,"56.15590,-3.95100",https://www.walkhighlands.co.uk/fife-stirling/darn-walk.shtml,1.5,River,Fife and Stirling walks
"Dunblane to Ashfield riverside walk, Dunblane",1,4.25km,1 - 1.5 hours,"56.18750,-3.96520",https://www.walkhighlands.co.uk/fife-stirling/dunblane-ashfield.shtml,1.5,River,Fife and Stirling walks
"Gartmorn Dam circuit, near Alloa",1,4.5km,1 - 1.5 hours,"56.12660,-3.75290",https://www.walkhighlands.co.uk/fife-stirling/gartmorn-dam.shtml,1.5,Wetland,Fife and Stirling walks
Dollar to Tillicoultry on the Devon Way,1,5km,1.25 hours,"56.16290,-3.67100",https://www.walkhighlands.co.uk/fife-stirling/dollar-tillicoultry.shtml,1.25,River,Fife and Stirling walks
"Bannockburn, near Stirling",1,5.25km,1.5 hours,"56.09250,-3.93500",https://www.walkhighlands.co.uk/fife-stirling/bannockburn.shtml,1.5,Heritage,Fife and Stirling walks
Cambuskenneth Abbey from Stirling,1,5.25km,1 - 1.5 hours,"56.11950,-3.93530",https://www.walkhighlands.co.uk/fife-stirling/cambuskenneth.shtml,1.5,Heritage,Fife and Stirling walks
Rumbling Bridge Gorge and Crook of Devon,1,5.75km,2 hours,"56.17770,-3.58540",https://www.walkhighlands.co.uk/fife-stirling/rumbling-bridge-gorge.shtml,2,River,Fife and Stirling walks
"Blairadam Forest walks, near Kelty",1,6.2km,1.5 - 2 hours,"56.13630,-3.40250",https://www.walkhighlands.co.uk/fife-stirling/blairadam.shtml,2,Forest,Fife and Stirling walks
"Mill Glen, Tillicoultry",2,2km,1 hour,"56.15710,-3.74920",https://www.walkhighlands.co.uk/fife-stirling/mill-glen.shtml,1,River,Fife and Stirling walks
Castle Campbell and Dollar Glen,2,3.7km,1.5 - 2 hours,"56.16340,-3.67156",https://www.walkhighlands.co.uk/fife-stirling/dollar-glen.shtml,2,River,Fife and Stirling walks
"Castlehill Trails, Glen Devon",2,4.25km,1.5 hours,"56.21140,-3.61890",https://www.walkhighlands.co.uk/fife-stirling/castlehill.shtml,1.5,Wetland,Fife and Stirling walks
"Airthrey Loch & Hermitage Woods, Stirling University",2,4.5km,1 - 1.5 hours,"56.14500,-3.92230",https://www.walkhighlands.co.uk/fife-stirling/stirling-university.shtml,1.5,Heritage,Fife and Stirling walks
"North Third Reservoir, near Stirling",2,4.75km,1.5 - 2 hours,"56.06860,-3.99900",https://www.walkhighlands.co.uk/fife-stirling/north-third.shtml,2,Wetland,Fife and Stirling walks
Clackmannan and the Towers,2,6.25km,1.5 - 2 hours,"56.10730,-3.75190",https://www.walkhighlands.co.uk/fife-stirling/clackmannan.shtml,2,Heritage,Fife and Stirling walks
Dumyat by the hill path,2,7km,2 - 2.5 hours,"56.15620,-3.91710",https://www.walkhighlands.co.uk/fife-stirling/dumyat.shtml,2.5,Mountain,Fife and Stirling walks
"Devilla Forest - Four Lochs, near Kincardine",2,9km,2.5 - 3 hours,"56.06550,-3.66560",https://www.walkhighlands.co.uk/fife-stirling/devilla-forest.shtml,3,Forest,Fife and Stirling walks
"Around Ben Shee, Glen Devon",2,9.75km,2.5 - 3.5 hours,"56.22780,-3.66020",https://www.walkhighlands.co.uk/perthshire/ben-shee.shtml,3.5,Mountain,Fife and Stirling walks
"Glen Sherup horseshoe, Glen Devon",2,16km,4.5 - 5.5 hours,"56.22780,-3.66020",https://www.walkhighlands.co.uk/fife-stirling/glen-sherup.shtml,5.5,Forest,Fife and Stirling walks
Alva Glen,3,2.5km,1 - 1.5 hours,"56.15700,-3.79730",https://www.walkhighlands.co.uk/fife-stirling/alva-glen.shtml,1.5,River,Fife and Stirling walks
Dumyat and Blairlogie circuit,3,8.8km,3 - 4 hours,"56.14980,-3.88300",https://www.walkhighlands.co.uk/fife-stirling/dumyat-blairlogie.shtml,4,Mountain,Fife and Stirling walks
King's Seat Hill from Tillicoultry to Dollar,3,9km,4 - 6 hours,"56.15710,-3.74920",https://www.walkhighlands.co.uk/fife-stirling/kings-seat.shtml,6,Mountain,Fife and Stirling walks
Ben Cleuch circular,3,9.5km,4.5 - 6 hours,"56.15710,-3.74920",https://www.walkhighlands.co.uk/fife-stirling/ben-cleuch.shtml,6,Mountain,Fife and Stirling walks
"Underground/Overground Canal Circular, Falkirk",1,2.5km,1 hour,"55.99260,-3.79450",https://www.walkhighlands.co.uk/fife-stirling/falkirk-tunnel.shtml,1,Heritage,Fife and Stirling walks
"The Pineapple and Dunmore Estate, near Airth",1,4.75km,1 - 1.5 hours,"56.07610,-3.78450",https://www.walkhighlands.co.uk/fife-stirling/pineapple-dunmore.shtml,1.5,Heritage,Fife and Stirling walks
"Callendar Park and House, Falkirk",1,5.25km,1- 1.5 hours,"55.99570,-3.77580",https://www.walkhighlands.co.uk/fife-stirling/callendar-park.shtml,1.5,Forest,Fife and Stirling walks
"Falkirk Wheel two canals circuit, near Falkirk",1,5.75km,1- 1.5 hours,"56.00300,-3.84080",https://www.walkhighlands.co.uk/fife-stirling/falkirk-wheel.shtml,1.5,Heritage,Fife and Stirling walks
"The Kelpies and the Helix, Falkirk",1,6.25km,1.5 - 2 hours,"56.01320,-3.75940",https://www.walkhighlands.co.uk/fife-stirling/kelpies.shtml,2,Heritage,Fife and Stirling walks
"Blackness Castle, from near Bo'ness",1,8.5km,2 - 2.5 hours,"56.01460,-3.57277",https://www.walkhighlands.co.uk/fife-stirling/blackness-castle.shtml,2.5,Heritage,Fife and Stirling walks
"Falkirk Wheel and Antonine Wall, near Falkirk",2,7km,1.5 - 2 hours,"56.00300,-3.84080",https://www.walkhighlands.co.uk/fife-stirling/antonine-wall.shtml,2,Heritage,Fife and Stirling walks
"Windy Hill, Muirshiel Country Park",1,2km,45 minutes,"55.83240,-4.69720",https://www.walkhighlands.co.uk/glasgow/windy-hill.shtml,0.75,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Shielhill Glen Trail, Clyde Muirshiel",1,2.5km,1 hour,"55.91030,-4.80620",https://www.walkhighlands.co.uk/glasgow/cornalees-nature-trail.shtml,1,Wetland,"Glasgow, Ayrshire and Lanark walks"
Glasgow Necropolis,1,3.9km,1.5 - 2 hours,"55.86220,-4.25220",https://www.walkhighlands.co.uk/glasgow/necropolis.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Pollok Park, Glasgow",1,5.1km,1.5 hours,"55.82390,-4.30128",https://www.walkhighlands.co.uk/glasgow/pollok-park.shtml,1.5,Forest,"Glasgow, Ayrshire and Lanark walks"
Glasgow Green and the city centre,1,5.2km,1.5 - 2 hours,"55.86060,-4.25870",https://www.walkhighlands.co.uk/glasgow/glasgow-green.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Castle Semple Loch, Lochwinnoch",1,6.25km,2 hours,"55.79690,-4.62070",https://www.walkhighlands.co.uk/glasgow/castle-semple.shtml,2,Wetland,"Glasgow, Ayrshire and Lanark walks"
River Kelvin and canals circuit,1,8km,1.5 hours,"55.87420,-4.27989",https://www.walkhighlands.co.uk/glasgow/kelvin-canal.shtml,1.5,River,"Glasgow, Ayrshire and Lanark walks"
Glasgow Murals Trail,1,9.1km,3.5 - 4 hours,"55.86380,-4.25290",https://www.walkhighlands.co.uk/glasgow/glasgow-murals.shtml,4,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Greenock Cut, Inverclyde",1,11.5km,2.5 - 3 hours,"55.91030,-4.80620",https://www.walkhighlands.co.uk/glasgow/greenock-cut.shtml,3,Mountain,"Glasgow, Ayrshire and Lanark walks"
Charles Rennie Mackintosh's Glasgow,1,12.9km,4 hours,"55.86060,-4.25850",https://www.walkhighlands.co.uk/glasgow/mackintosh-glasgow.shtml,4,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Lochgoin Circuit, Whitelee Windfarm",1,13.5km,2.5 - 3 hours,"55.71330,-4.34010",https://www.walkhighlands.co.uk/glasgow/whitelee-windfarm.shtml,3,Wetland,"Glasgow, Ayrshire and Lanark walks"
"Locherwood & Lady Muir Trail, Clyde Muirshiel",2,7.25km,2 - 2.5 hours,"55.84130,-4.63220",https://www.walkhighlands.co.uk/glasgow/locherwood.shtml,2.5,Forest,"Glasgow, Ayrshire and Lanark walks"
Kelvin Walkway: Glasgow to Milngavie,2,16.5km,4.5 - 5.5 hours,"55.86570,-4.30580",https://www.walkhighlands.co.uk/glasgow/kelvin-walkway.shtml,5.5,River,"Glasgow, Ayrshire and Lanark walks"
"The Magnificent 11, Glasgow Southside",2,17km,4 - 5 hours,"55.80220,-4.27043",https://www.walkhighlands.co.uk/glasgow/magnificent-11.shtml,5,Forest,"Glasgow, Ayrshire and Lanark walks"
"Campsie Glen, Clachan of Campsie",1,0.85km,30 minutes,"55.98910,-4.22880",https://www.walkhighlands.co.uk/glasgow/campsie-glen.shtml,0.5,River,"Glasgow, Ayrshire and Lanark walks"
"Downie's Loup waterfall, Gargunnock",1,4km,1 hour,"56.12470,-4.08409",https://www.walkhighlands.co.uk/glasgow/downies-loup.shtml,1,River,"Glasgow, Ayrshire and Lanark walks"
Carron Valley Reservoir shore trail,1,4.25km,1 - 1.5 hours,"56.03040,-4.05413",https://www.walkhighlands.co.uk/glasgow/carron-valley-reservoir.shtml,1.5,Wetland,"Glasgow, Ayrshire and Lanark walks"
"Tomtain, near Kilsyth",2,3.5km,1 hour,"56.00660,-4.03150",https://www.walkhighlands.co.uk/glasgow/tomtain.shtml,1,Mountain,"Glasgow, Ayrshire and Lanark walks"
"The Whangie, Kilpatrick Hills",2,4.5km,1.5 - 2 hours,"55.99750,-4.38900",https://www.walkhighlands.co.uk/glasgow/the-whangie.shtml,2,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Cort-ma Law, near Lennoxtown",2,9km,3 - 3.5 hours,"55.99350,-4.22560",https://www.walkhighlands.co.uk/glasgow/cort-ma-law.shtml,3.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Meikle Bin, Carron Valley",2,10km,2 - 3 hours,"56.04740,-4.13280",https://www.walkhighlands.co.uk/glasgow/meikle-bin.shtml,3,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Croy Hill and the Antonine Wall, near Kilsyth",2,10.5km,3 - 4 hours,"55.96640,-4.05030",https://www.walkhighlands.co.uk/glasgow/croy-hill.shtml,4,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Lang Craigs Circuit, Dumbarton",2,14km,3.5 - 4.5 hours,"55.94710,-4.56210",https://www.walkhighlands.co.uk/glasgow/lang-craigs.shtml,4.5,Forest,"Glasgow, Ayrshire and Lanark walks"
Kelvin Walkway: Glasgow to Milngavie,2,16.5km,4.5 - 5.5 hours,"55.86570,-4.30580",https://www.walkhighlands.co.uk/glasgow/kelvin-walkway.shtml,5.5,River,"Glasgow, Ayrshire and Lanark walks"
"Dumgoyne and Earl's Seat, near Killearn",3,10.5km,3 - 4 hours,"56.01490,-4.36460",https://www.walkhighlands.co.uk/glasgow/dumgoyne-earls-seat.shtml,4,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Duncolm and the Slacks, Old Kilpatrick",3,15km,4 - 4.5 hours,"55.92470,-4.45150",https://www.walkhighlands.co.uk/glasgow/duncolm.shtml,4.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Carleatheran and Stronend, near Kippen",3,23.25km,5 - 6.5 hours,"56.10390,-4.16778",https://www.walkhighlands.co.uk/glasgow/carleatheran.shtml,6.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Three Green Knights Trail, Auchincruive",1,2km,45 mins,"55.47500,-4.55334",https://www.walkhighlands.co.uk/glasgow/green-knights.shtml,0.75,Forest,"Glasgow, Ayrshire and Lanark walks"
"Lynn Glen, near Dalry",1,2km,45 minutes,"55.70110,-4.72757",https://www.walkhighlands.co.uk/glasgow/lynn-glen.shtml,0.75,River,"Glasgow, Ayrshire and Lanark walks"
"John Brown's Memorial walk, Priesthill",1,2.5km,1 - 1.5 hours,"55.55640,-4.03047",https://www.walkhighlands.co.uk/glasgow/john-brown-memorial.shtml,1.5,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Ness Glen, near Loch Doon",1,3.2km,1 - 1.5 hours,"55.28150,-4.40050",https://www.walkhighlands.co.uk/glasgow/ness-glen.shtml,1.5,River,"Glasgow, Ayrshire and Lanark walks"
"Lady Hunter Blair's walk, Straiton",1,3.25km,1 - 1.5 hour,"55.31180,-4.55540",https://www.walkhighlands.co.uk/glasgow/lady-hunter-blair-walk.shtml,1.5,Forest,"Glasgow, Ayrshire and Lanark walks"
"Old Railway walk, near Muirkirk",1,3.5km,1 - 1.5 hours,"55.51460,-4.06580",https://www.walkhighlands.co.uk/glasgow/railway-muirkirk.shtml,1.5,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Doggartland walk, Dalry",1,4.25km,1 - 1.5 hours,"55.70870,-4.72026",https://www.walkhighlands.co.uk/glasgow/doggartland-dalry.shtml,1.5,River,"Glasgow, Ayrshire and Lanark walks"
"Fairy Knowe, near Barr",1,4.75km,1 - 1.5 hours,"55.21060,-4.69120",https://www.walkhighlands.co.uk/glasgow/fairy-knowe.shtml,1.5,Forest,"Glasgow, Ayrshire and Lanark walks"
"Oswald's Trail, Auchincruive",1,4.75km,1 - 1.5 hours,"55.47500,-4.55334",https://www.walkhighlands.co.uk/glasgow/oswald-auchincruive.shtml,1.5,River,"Glasgow, Ayrshire and Lanark walks"
"Castle Hill and Douglas Park, Largs",1,5.5km,1.5 - 2 hours,"55.79640,-4.87020",https://www.walkhighlands.co.uk/glasgow/castle-hill.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Burns' Trail, Alloway",1,6km,2 hours,"55.43240,-4.63470",https://www.walkhighlands.co.uk/glasgow/burns-alloway.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Farland Point, Great Cumbrae",1,6km,2 - 2.5 hours,"55.75110,-4.93270",https://www.walkhighlands.co.uk/glasgow/farland-great-cumbrae.shtml,2.5,Coastal,"Glasgow, Ayrshire and Lanark walks"
"Dyke walk, Darvel",1,6.5km,1.5 hours,"55.60870,-4.28160",https://www.walkhighlands.co.uk/glasgow/dyke-darvel.shtml,1.5,River,"Glasgow, Ayrshire and Lanark walks"
"Fintry Bay, Great Cumbrae",1,7.5km,2 - 2.5 hours,"55.75110,-4.93270",https://www.walkhighlands.co.uk/glasgow/fintry-bay-cumbrae.shtml,2.5,Coastal,"Glasgow, Ayrshire and Lanark walks"
"Burn Anne walk, Galston",1,8.5km,2 - 2.5 hour,"55.59850,-4.38010",https://www.walkhighlands.co.uk/glasgow/burn-anne-galston.shtml,2.5,River,"Glasgow, Ayrshire and Lanark walks"
"Culzean Castle Country Park, from Maidens",1,9km,2.5 - 3.5 hours,"55.33710,-4.81270",https://www.walkhighlands.co.uk/glasgow/culzean-castle.shtml,3.5,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Kildoon Hill, Maybole",1,9.8km,2.5 - 3 hours,"55.35480,-4.68485",https://www.walkhighlands.co.uk/glasgow/kildoon-hill.shtml,3,Heritage,"Glasgow, Ayrshire and Lanark walks"
Great Cumbrae Inner Circle,1,11.5km,2.5 - 3.5 hours,"55.78660,-4.89860",https://www.walkhighlands.co.uk/glasgow/cumbrae-inner-circle.shtml,3.5,Coastal,"Glasgow, Ayrshire and Lanark walks"
"Loudoun Hill, near Darvel",2,2.5km,1 hour,"55.61420,-4.20385",https://www.walkhighlands.co.uk/glasgow/loudon-hill.shtml,1,Mountain,"Glasgow, Ayrshire and Lanark walks"
Craiglea Trail and Loch Doon Castle,2,3.5km,1 - 1.5 hours,"55.22580,-4.38510",https://www.walkhighlands.co.uk/glasgow/craiglea-trail.shtml,1.5,Forest,"Glasgow, Ayrshire and Lanark walks"
"Greeto Mast and the Gogo Glen, Largs",2,4.5km,1.5 - 2 hours,"55.79400,-4.85320",https://www.walkhighlands.co.uk/glasgow/greeto-bridge.shtml,2,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Twa' brigs walk, Muirkirk",2,5.25km,1.5 - 2 hours,"55.51460,-4.06580",https://www.walkhighlands.co.uk/glasgow/twa-brigs-muirkirk.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Cornish Hill and Loch circuit, Stinchar bridge",2,5.25km,1.5 - 2 hours,"55.22950,-4.52220",https://www.walkhighlands.co.uk/glasgow/cornish-loch.shtml,2,Wetland,"Glasgow, Ayrshire and Lanark walks"
"Byne Hill, Girvan",2,6.5km,2 - 2.5 hours,"55.22810,-4.85900",https://www.walkhighlands.co.uk/glasgow/byne-hill.shtml,2.5,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Devil's Trail, Barr",2,7km,1.5 - 2 hours,"55.21190,-4.69450",https://www.walkhighlands.co.uk/glasgow/devils-trail.shtml,2,Forest,"Glasgow, Ayrshire and Lanark walks"
"Monument and Bennan Hill, Straiton",2,8.25km,2.5 - 3 hours,"55.31180,-4.55540",https://www.walkhighlands.co.uk/glasgow/bennan-hill.shtml,3,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Cairn Table, near Muirkirk",2,8.75km,2.5 - 3 hours,"55.51470,-4.06617",https://www.walkhighlands.co.uk/glasgow/cairn-table.shtml,3,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Maxwellston Hill, Dailly",2,9.5km,2.5 - 3 hours,"55.27820,-4.72470",https://www.walkhighlands.co.uk/glasgow/maxwellston-hill.shtml,3,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Barony Hill, Dailly",2,11km,2.5 - 3 hours,"55.27820,-4.72470",https://www.walkhighlands.co.uk/glasgow/barony-hill.shtml,3,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Knock Hill circular, Largs",2,13km,3.5 - 4 hours,"55.79640,-4.87020",https://www.walkhighlands.co.uk/glasgow/knock-hill.shtml,4,Mountain,"Glasgow, Ayrshire and Lanark walks"
Ailsa Craig - the ascent,3,3km,1.5 - 2.5 hours,"55.25360,-5.10950",https://www.walkhighlands.co.uk/glasgow/ailsa-craig.shtml,2.5,Coastal,"Glasgow, Ayrshire and Lanark walks"
Shalloch on Minnoch via the north ridge,3,9.5km,3 - 4 hours,"55.22120,-4.52580",https://www.walkhighlands.co.uk/glasgow/shalloch-on-minnoch.shtml,4,Mountain,"Glasgow, Ayrshire and Lanark walks"
"Calderglen, East Kilbride",1,2.75km,1 hour,"55.74840,-4.14660",https://www.walkhighlands.co.uk/glasgow/calderglen.shtml,1,River,"Glasgow, Ayrshire and Lanark walks"
"Drumpellier Country Park, Coatbridge",1,4.25km,1 - 1.5 hours,"55.87350,-4.07090",https://www.walkhighlands.co.uk/glasgow/drumpellier.shtml,1.5,Wetland,"Glasgow, Ayrshire and Lanark walks"
"The Hidden Side of the Falls of Clyde, near Lanark",1,4.5km,1 - 1.5 hours,"55.65360,-3.78500",https://www.walkhighlands.co.uk/glasgow/clyde-hidden.shtml,1.5,River,"Glasgow, Ayrshire and Lanark walks"
"Spectacle E'e falls circular, Strathaven",1,5.5km,1.5 - 2 hours,"55.67650,-4.06590",https://www.walkhighlands.co.uk/glasgow/strathaven.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"The Falls of Clyde classic, New Lanark",1,6km,1.5 - 2 hours,"55.66400,-3.77800",https://www.walkhighlands.co.uk/glasgow/falls-of-clyde.shtml,2,River,"Glasgow, Ayrshire and Lanark walks"
"Strathclyde Loch, Motherwell",1,6km,1.5 - 2 hours,"55.78770,-4.02870",https://www.walkhighlands.co.uk/glasgow/strathclyde-loch.shtml,2,Wetland,"Glasgow, Ayrshire and Lanark walks"
"Baron's Haugh and Dalzell Estate, near Motherwell",1,6km,1.5 -2 hours,"55.77450,-3.98600",https://www.walkhighlands.co.uk/glasgow/dalzell-estate.shtml,2,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Douglas Estate lochs and Castle Dangerous, Douglas",1,6.5km,1.5 hours,"55.55600,-3.84700",https://www.walkhighlands.co.uk/glasgow/douglas.shtml,1.5,Heritage,"Glasgow, Ayrshire and Lanark walks"
"Palacerigg Country Park, Cumbernauld",1,7.5km,2 hours,"55.93680,-3.94360",https://www.walkhighlands.co.uk/glasgow/palacerigg.shtml,2,Forest,"Glasgow, Ayrshire and Lanark walks"
